age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
young adult,Private,HS-grad,Never-married,Sales,Unmarried,White,Female,full-time,Peru,<=50K
working adult,State-gov,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,full-time,United-States,>50K
working adult,State-gov,Some-college,Divorced,Exec-managerial,Not-in-family,Black,Female,full-time,United-States,<=50K
working adult,Federal-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
retirement,Self-emp-inc,10th,Widowed,Sales,Unmarried,White,Female,full-time,Canada,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,Some-college,Never-married,Sales,Own-child,White,Female,part-time,United-States,<=50K
young adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Black,Female,full-time,United-States,<=50K
working adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Divorced,Exec-managerial,Other-relative,Black,Female,overtime,United-States,<=50K
working adult,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,overtime,United-States,<=50K
young adult,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,full-time,United-States,>50K
working adult,Private,HS-grad,Separated,Tech-support,Not-in-family,White,Female,part-time,United-States,<=50K
working adult,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,overtime,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,full-time,United-States,<=50K
working adult,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
childhood,Private,10th,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
retirement,Private,11th,Divorced,Transport-moving,Not-in-family,White,Male,overtime,United-States,<=50K
young adult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,full-time,United-States,<=50K
young adult,Private,9th,Never-married,Handlers-cleaners,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,overtime,United-States,<=50K
working adult,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,full-time,United-States,<=50K
young adult,Private,Some-college,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
young adult,State-gov,12th,Never-married,Exec-managerial,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Separated,Adm-clerical,Other-relative,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Other-service,Unmarried,White,Male,full-time,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,overtime,United-States,>50K
working adult,Private,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
retirement,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,part-time,United-States,<=50K
retirement,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
young adult,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Divorced,Transport-moving,Own-child,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Own-child,White,Male,overtime,Mexico,<=50K
working adult,Private,Some-college,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,full-time,Laos,<=50K
working adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,full-time,United-States,<=50K
childhood,Private,11th,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
working adult,Local-gov,Assoc-acdm,Separated,Adm-clerical,Not-in-family,Black,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
working adult,Private,Preschool,Married-civ-spouse,Farming-fishing,Husband,White,Male,overtime,United-States,<=50K
young adult,Private,Some-college,Divorced,Sales,Own-child,White,Female,overtime,Iran,<=50K
young adult,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,7th-8th,Divorced,Handlers-cleaners,Other-relative,Black,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-spouse-absent,Other-service,Unmarried,White,Female,part-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,full-time,United-States,>50K
working adult,Private,Masters,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,full-time,United-States,<=50K
working adult,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,full-time,United-States,<=50K
retirement,Self-emp-not-inc,12th,Married-civ-spouse,Farming-fishing,Husband,White,Male,part-time,United-States,<=50K
childhood,Private,10th,Never-married,Other-service,Own-child,White,Male,part-time,Canada,<=50K
working adult,Private,Bachelors,Separated,Prof-specialty,Unmarried,White,Female,part-time,United-States,<=50K
working adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Other,Female,full-time,Columbia,<=50K
working adult,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,>50K
working adult,State-gov,Some-college,Separated,Protective-serv,Unmarried,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,part-time,United-States,<=50K
working adult,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Assoc-voc,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,overtime,United-States,<=50K
working adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,7th-8th,Divorced,Transport-moving,Unmarried,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Sales,Own-child,White,Male,overtime,United-States,<=50K
childhood,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Self-emp-not-inc,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,overtime,United-States,<=50K
working adult,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,full-time,United-States,<=50K
young adult,Private,12th,Never-married,Other-service,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,Mexico,<=50K
young adult,Private,Some-college,Never-married,Sales,Own-child,White,Female,part-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
working adult,Self-emp-not-inc,10th,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,part-time,United-States,<=50K
working adult,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,>50K
working adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,full-time,United-States,<=50K
working adult,Self-emp-not-inc,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,<=50K
retirement,Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
working adult,Local-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
retirement,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,full-time,Cuba,<=50K
young adult,Private,Bachelors,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
young adult,Private,Some-college,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,overtime,Philippines,<=50K
working adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,State-gov,Assoc-acdm,Married-spouse-absent,Other-service,Unmarried,White,Female,part-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Female,full-time,South,<=50K
working adult,Private,HS-grad,Separated,Craft-repair,Not-in-family,Black,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Tech-support,Wife,Black,Female,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,>50K
working adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,Greece,<=50K
young adult,Private,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,full-time,United-States,<=50K
working adult,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,part-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Local-gov,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,England,>50K
working adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
retirement,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,Mexico,<=50K
working adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,<=50K
working adult,Self-emp-inc,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Assoc-voc,Never-married,Sales,Own-child,White,Female,full-time,United-States,<=50K
working adult,Self-emp-inc,Assoc-voc,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,overtime,Thailand,<=50K
young adult,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,part-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,Black,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,full-time,Honduras,<=50K
retirement,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,full-time,United-States,<=50K
working adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,overtime,India,<=50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,10th,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,overtime,United-States,<=50K
working adult,Private,7th-8th,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,Cuba,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Local-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,overtime,United-States,>50K
retirement,Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,<=50K
working adult,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Federal-gov,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Female,overtime,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,overtime,United-States,<=50K
young adult,Self-emp-not-inc,7th-8th,Never-married,Farming-fishing,Own-child,White,Male,overtime,United-States,<=50K
retirement,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,<=50K
working adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,<=50K
retirement,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,overtime,United-States,<=50K
working adult,Private,10th,Divorced,Other-service,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,full-time,United-States,>50K
working adult,Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Male,overtime,United-States,<=50K
retirement,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,full-time,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,overtime,United-States,<=50K
young adult,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
working adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Black,Female,full-time,United-States,>50K
working adult,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,>50K
working adult,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
young adult,Private,11th,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,full-time,United-States,<=50K
working adult,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,White,Male,overtime,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Widowed,Other-service,Other-relative,White,Female,full-time,United-States,<=50K
working adult,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,part-time,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
young adult,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,Asian-Pac-Islander,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,part-time,United-States,<=50K
working adult,Private,HS-grad,Separated,Exec-managerial,Own-child,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
working adult,Self-emp-inc,Assoc-voc,Divorced,Sales,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,Some-college,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,part-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,>50K
working adult,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,<=50K
working adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,<=50K
working adult,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,overtime,United-States,>50K
working adult,Federal-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
retirement,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Male,part-time,United-States,<=50K
young adult,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,full-time,Outlying-US(Guam-USVI-etc),<=50K
working adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Divorced,Tech-support,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,overtime,Canada,>50K
young adult,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
working adult,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Male,full-time,United-States,<=50K
working adult,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,overtime,United-States,>50K
working adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
working adult,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,overtime,United-States,>50K
working adult,Private,Some-college,Divorced,Sales,Unmarried,White,Female,overtime,England,<=50K
young adult,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,part-time,United-States,<=50K
young adult,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,Black,Female,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,overtime,United-States,<=50K
working adult,Private,11th,Divorced,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
working adult,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Some-college,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,part-time,United-States,<=50K
working adult,Private,Doctorate,Divorced,Sales,Unmarried,White,Female,overtime,United-States,>50K
working adult,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
working adult,Self-emp-inc,10th,Widowed,Exec-managerial,Unmarried,White,Female,overtime,United-States,>50K
working adult,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,part-time,United-States,<=50K
working adult,Private,10th,Never-married,Adm-clerical,Unmarried,Black,Female,full-time,United-States,<=50K
working adult,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,>50K
young adult,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,overtime,United-States,<=50K
working adult,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,part-time,Germany,<=50K
working adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Male,full-time,United-States,<=50K
young adult,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,part-time,South,<=50K
working adult,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,overtime,South,<=50K
working adult,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,overtime,United-States,>50K
young adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
working adult,Federal-gov,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,full-time,Cuba,<=50K
working adult,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,full-time,United-States,<=50K
working adult,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,overtime,United-States,>50K
young adult,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,full-time,United-States,<=50K
working adult,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,overtime,United-States,<=50K
working adult,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
young adult,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,full-time,United-States,<=50K
working adult,Private,Preschool,Never-married,Farming-fishing,Not-in-family,White,Male,full-time,Mexico,<=50K
working adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,overtime,United-States,>50K
working adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,overtime,United-States,>50K
working adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
working adult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
young adult,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,full-time,United-States,<=50K
working adult,Federal-gov,Assoc-voc,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,full-time,United-States,<=50K
working adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
